STATISTIC,STATISTIC Label,TLIST(A1),Year,C02293V02763,Direction,C03042V03675,Route,UNIT,VALUE
ASA02,Air and Sea Travel,2010,2010,1,Arrivals,-,All routes of travel,Thousand,12902.2
ASA02,Air and Sea Travel,2010,2010,1,Arrivals,01,Cross channel,Thousand,6113
ASA02,Air and Sea Travel,2010,2010,1,Arrivals,02,Continental Europe,Thousand,5652.6
ASA02,Air and Sea Travel,2010,2010,1,Arrivals,03,Transatlantic,Thousand,914.5
ASA02,Air and Sea Travel,2010,2010,1,Arrivals,04,Other,Thousand,222.1
ASA02,Air and Sea Travel,2010,2010,2,Departures,-,All routes of travel,Thousand,12920.2
ASA02,Air and Sea Travel,2010,2010,2,Departures,01,Cross channel,Thousand,6132.4
ASA02,Air and Sea Travel,2010,2010,2,Departures,02,Continental Europe,Thousand,5643.3
ASA02,Air and Sea Travel,2010,2010,2,Departures,03,Transatlantic,Thousand,924.3
ASA02,Air and Sea Travel,2010,2010,2,Departures,04,Other,Thousand,220.3
ASA02,Air and Sea Travel,2011,2011,1,Arrivals,-,All routes of travel,Thousand,13049.7
ASA02,Air and Sea Travel,2011,2011,1,Arrivals,01,Cross channel,Thousand,6102.5
ASA02,Air and Sea Travel,2011,2011,1,Arrivals,02,Continental Europe,Thousand,5782.5
ASA02,Air and Sea Travel,2011,2011,1,Arrivals,03,Transatlantic,Thousand,932.5
ASA02,Air and Sea Travel,2011,2011,1,Arrivals,04,Other,Thousand,232.2
ASA02,Air and Sea Travel,2011,2011,2,Departures,-,All routes of travel,Thousand,13109.7
ASA02,Air and Sea Travel,2011,2011,2,Departures,01,Cross channel,Thousand,6147.4
ASA02,Air and Sea Travel,2011,2011,2,Departures,02,Continental Europe,Thousand,5779.8
ASA02,Air and Sea Travel,2011,2011,2,Departures,03,Transatlantic,Thousand,950.9
ASA02,Air and Sea Travel,2011,2011,2,Departures,04,Other,Thousand,231.5
ASA02,Air and Sea Travel,2012,2012,1,Arrivals,-,All routes of travel,Thousand,13142
ASA02,Air and Sea Travel,2012,2012,1,Arrivals,01,Cross channel,Thousand,5930.5
ASA02,Air and Sea Travel,2012,2012,1,Arrivals,02,Continental Europe,Thousand,5920.1
ASA02,Air and Sea Travel,2012,2012,1,Arrivals,03,Transatlantic,Thousand,957.5
ASA02,Air and Sea Travel,2012,2012,1,Arrivals,04,Other,Thousand,334
ASA02,Air and Sea Travel,2012,2012,2,Departures,-,All routes of travel,Thousand,13161.6
ASA02,Air and Sea Travel,2012,2012,2,Departures,01,Cross channel,Thousand,5946.3
ASA02,Air and Sea Travel,2012,2012,2,Departures,02,Continental Europe,Thousand,5899.9
ASA02,Air and Sea Travel,2012,2012,2,Departures,03,Transatlantic,Thousand,974.6
ASA02,Air and Sea Travel,2012,2012,2,Departures,04,Other,Thousand,340.7
ASA02,Air and Sea Travel,2013,2013,1,Arrivals,-,All routes of travel,Thousand,13632.9
ASA02,Air and Sea Travel,2013,2013,1,Arrivals,01,Cross channel,Thousand,6016.1
ASA02,Air and Sea Travel,2013,2013,1,Arrivals,02,Continental Europe,Thousand,6140.1
ASA02,Air and Sea Travel,2013,2013,1,Arrivals,03,Transatlantic,Thousand,1093.1
ASA02,Air and Sea Travel,2013,2013,1,Arrivals,04,Other,Thousand,383.6
ASA02,Air and Sea Travel,2013,2013,2,Departures,-,All routes of travel,Thousand,13655.2
ASA02,Air and Sea Travel,2013,2013,2,Departures,01,Cross channel,Thousand,6052.7
ASA02,Air and Sea Travel,2013,2013,2,Departures,02,Continental Europe,Thousand,6113.5
ASA02,Air and Sea Travel,2013,2013,2,Departures,03,Transatlantic,Thousand,1106.8
ASA02,Air and Sea Travel,2013,2013,2,Departures,04,Other,Thousand,382.2
ASA02,Air and Sea Travel,2014,2014,1,Arrivals,-,All routes of travel,Thousand,14546.8
ASA02,Air and Sea Travel,2014,2014,1,Arrivals,01,Cross channel,Thousand,6422
ASA02,Air and Sea Travel,2014,2014,1,Arrivals,02,Continental Europe,Thousand,6452.8
ASA02,Air and Sea Travel,2014,2014,1,Arrivals,03,Transatlantic,Thousand,1238.6
ASA02,Air and Sea Travel,2014,2014,1,Arrivals,04,Other,Thousand,433.3
ASA02,Air and Sea Travel,2014,2014,2,Departures,-,All routes of travel,Thousand,14570.5
ASA02,Air and Sea Travel,2014,2014,2,Departures,01,Cross channel,Thousand,6437.7
ASA02,Air and Sea Travel,2014,2014,2,Departures,02,Continental Europe,Thousand,6438.8
ASA02,Air and Sea Travel,2014,2014,2,Departures,03,Transatlantic,Thousand,1260.3
ASA02,Air and Sea Travel,2014,2014,2,Departures,04,Other,Thousand,433.8
ASA02,Air and Sea Travel,2015,2015,1,Arrivals,-,All routes of travel,Thousand,16100.3
ASA02,Air and Sea Travel,2015,2015,1,Arrivals,01,Cross channel,Thousand,6960.3
ASA02,Air and Sea Travel,2015,2015,1,Arrivals,02,Continental Europe,Thousand,7243
ASA02,Air and Sea Travel,2015,2015,1,Arrivals,03,Transatlantic,Thousand,1375.6
ASA02,Air and Sea Travel,2015,2015,1,Arrivals,04,Other,Thousand,521.4
ASA02,Air and Sea Travel,2015,2015,2,Departures,-,All routes of travel,Thousand,16138.5
ASA02,Air and Sea Travel,2015,2015,2,Departures,01,Cross channel,Thousand,6979.2
ASA02,Air and Sea Travel,2015,2015,2,Departures,02,Continental Europe,Thousand,7238.3
ASA02,Air and Sea Travel,2015,2015,2,Departures,03,Transatlantic,Thousand,1401.2
ASA02,Air and Sea Travel,2015,2015,2,Departures,04,Other,Thousand,519.7
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,-,All routes of travel,Thousand,17532.6
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,01,Cross channel,Thousand,7497.6
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,02,Continental Europe,Thousand,8000.3
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,03,Transatlantic,Thousand,1553.3
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,04,Other,Thousand,481.4
ASA02,Air and Sea Travel,2016,2016,2,Departures,-,All routes of travel,Thousand,17608.1
ASA02,Air and Sea Travel,2016,2016,2,Departures,01,Cross channel,Thousand,7531.9
