Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01371","Almonds, in shell","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1961","1961","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1961","1961","100 g/ha","96667","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1961","1961","t","29000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1962","1962","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1962","1962","100 g/ha","103333","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1962","1962","t","31000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1963","1963","ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1963","1963","100 g/ha","116667","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1963","1963","t","35000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1964","1964","ha","2000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1964","1964","100 g/ha","120000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1964","1964","t","24000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1965","1965","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1965","1965","100 g/ha","140000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1965","1965","t","21000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1966","1966","ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1966","1966","100 g/ha","170000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1966","1966","t","17000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1967","1967","ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1967","1967","100 g/ha","160000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1967","1967","t","16000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1968","1968","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1968","1968","100 g/ha","133333","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1968","1968","t","20000","A","Official figure",""
