date,open,high,low,close,adj_close,volume,ticker,tweet,neg,neu,pos,compound
2020-01-07,334.260009765625,344.19000244140625,330.7099914550781,337.2799987792969,335.28515625,9898600,BA,$BA  Stocks usually look bearish until they don’t lol. BA BA BOOM 🤯,0.0,0.797,0.203,0.4215
2020-01-07,334.260009765625,344.19000244140625,330.7099914550781,337.2799987792969,335.28515625,9898600,BA,$BA heh. Would you look at that future 🤨 good thing it's for next week 🤕🤬 *bork*,0.086,0.757,0.157,0.3182
2020-01-08,332.3999938964844,334.0299987792969,329.6000061035156,331.3699951171875,329.4100952148437,8239200,BA,"$BA Of course there were technical problems behind this crash, just like the other two! How many more planes have to crash before this company gets banned for good? 😠",0.286,0.578,0.136,-0.7177
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,$BA BOEING is a bear proof stock. 😂,0.0,1.0,0.0,0.0
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,$BA new CEO already cleaning out the dirty laundry—👍🏻 $340,0.244,0.756,0.0,-0.4404
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,$BA that email leaked was a huge nothing burger 🤣🤣,0.198,0.603,0.198,0.0
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,"$BA about to explode 🚨
Keep shorting please",0.0,0.723,0.277,0.3182
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,$BA is there any clown 🤡 than this man,0.0,1.0,0.0,0.0
2020-01-10,335.5599975585937,337.70001220703125,329.45001220703125,329.9200134277344,327.9686889648437,7161700,BA,$BA HAHAHA 😂 What did I tell you? 😂 This is trash! 👎🏻,0.0,0.661,0.339,0.6833
2020-01-14,330.760009765625,335.3500061035156,328.2799987792969,332.3500061035156,330.3843078613281,6945300,BA,"$BA designed by 🤡 supervised by 🐒’s... I’m a Boeing fan, but this needs a flush to 260 before it can heal.",0.0,0.916,0.084,0.1655
